Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,17:27:43,271,15
2024-09-21,17:27:53,268,15
2024-09-21,17:28:03,265,15
2024-09-21,17:28:13,260,15
2024-09-21,17:28:23,262,16
2024-09-21,17:28:33,259,15
2024-09-21,17:28:43,256,15
2024-09-21,17:28:53,253,15
2024-09-21,17:29:03,251,15
2024-09-21,17:29:13,250,16
2024-09-21,17:29:23,248,15
2024-09-21,17:29:33,243,15
2024-09-21,17:29:43,248,15
2024-09-21,17:29:54,246,15
2024-09-21,17:30:04,241,15
2024-09-21,17:30:14,244,15
2024-09-21,17:30:24,241,15
2024-09-21,17:30:34,237,15
2024-09-21,17:30:44,232,15
2024-09-21,17:30:54,233,15
2024-09-21,17:31:04,232,15
2024-09-21,17:31:14,225,15
2024-09-21,17:31:24,223,15
2024-09-21,17:31:34,220,15
2024-09-21,17:31:44,220,15
2024-09-21,17:31:54,219,15
2024-09-21,17:32:04,215,14
2024-09-21,17:32:14,217,15
2024-09-21,17:32:24,210,15
2024-09-21,17:32:34,208,14
2024-09-21,17:32:44,206,15
2024-09-21,17:32:54,202,15
2024-09-21,17:33:04,201,14
2024-09-21,17:33:14,199,15
2024-09-21,17:33:24,196,15
2024-09-21,17:33:34,194,15
2024-09-21,17:33:44,192,15
2024-09-21,17:33:54,196,15
2024-09-21,17:34:04,189,14
2024-09-21,17:34:14,186,15
2024-09-21,17:34:24,183,15
2024-09-21,17:34:34,182,15
2024-09-21,17:34:44,178,15
2024-09-21,17:34:54,178,15
2024-09-21,17:35:04,177,15
2024-09-21,17:35:14,174,15
2024-09-21,17:35:24,175,14
2024-09-21,17:35:34,170,14
2024-09-21,17:35:44,171,15
2024-09-21,17:35:54,166,15
2024-09-21,17:36:04,164,15
2024-09-21,17:36:14,161,15
2024-09-21,17:36:24,159,15
2024-09-21,17:36:34,158,15
2024-09-21,17:36:44,156,15
2024-09-21,17:36:54,158,15
2024-09-21,17:37:04,151,15
2024-09-21,17:37:14,149,15
2024-09-21,17:37:24,148,15
